BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address Zip Code,Parcel Address,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft²),Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Water Usage Intensity (Gallons/ft²),Estimated Total GHG Emissions (kgCO2e),Cooresponding Campus ID,Data Year
100024,306400000.0,1134 WASHINGTON STREET,1134-1140 Washington St,2118.0,1134 1140 Washington St,2118.0,33538.0,Multifamily Housing,"Multifamily Housing , Bank Branch , Other ",37.4,1254138.2,833500.0,420638.2,,,,,,,,,,,,,77540.0,,2022
100027,2200550000.0,1200 SFR LLC,1200 Soldiers Field Rd,2134.0,1200 Soldiers Field Rd,2134.0,27543.0,Office,Office ,35.2,970245.1,271189.1,699056.0,,,,,,,,,,,,1.48,69698.0,,2022
100028,602643040.0,121 SEAPORT BOULEVARD CONDOMINIIUM TRUST,113  129 Seaport Bl,2210.0,113 129 Seaport Bl,2210.0,486562.0,Office,"Office , Parking ",56.3,27398360.7,9172813.9,18225546.0,,,,,,,,,,,,7.05,1928809.0,,2022
100031,1101208030.0,125 AMORY LEASEHOLD CONDOMINIUM ASSOCIATION,125 Amory St,2119.0,125 Amory St,2119.0,113806.0,Multifamily Housing,Multifamily Housing ,97.4,11082552.8,3177877.1,7904675.9,,,,,,,,,,,,63.07,794037.0,,2022
100035,304334000.0,125 LINCOLN STREET OWNER LLC,109-153 Lincoln St,2111.0,109 153 Lincoln St,2111.0,110832.0,Office,"Office , Parking , Retail Store ",36.9,4093256.9,3850500.0,242757.0,,,,,,,,,,,,7.64,223702.0,,2022
100036,504328000.0,126 BROOKLINE AVENUE LLC,122-130 Brookline Ave,2215.0,122 130 Brookline Av,2215.0,71844.0,Retail Store,"Restaurant , Office , Retail Store , Other ",109.0,7833393.6,1974977.4,5858417.6,,,,,,,,,,,,51.45,568292.0,,2022
100037,602642000.0,133 SEAPORT RESIDENTIAL CONDOMINIUM TRUST,131-153 Seaport Blvd,2210.0,131 149 Seaport Bl,2210.0,193939.0,Multifamily Housing,Multifamily Housing ,57.0,11048966.0,7392786.4,3656179.8,,,,,,,,,,,,24.36,681835.0,,2022
100038,602642100.0,133 SEAPORT RESIDENTIAL CONDOMINIUM TRUST,133 Seaport Bl,2210.0,133 Seaport Bl,2210.0,266921.0,Multifamily Housing,Multifamily Housing ,43.7,11666636.6,6938160.7,4728475.8,,,,,,,,,,,,24.36,742508.0,,2022
100039,502721000.0,133-135 MARLBOROUGH STREET,133 Marlborough St,2116.0,133 135 Marlborough St,2116.0,22214.0,Multifamily Housing,Multifamily Housing ,69.8,1549595.4,1176483.0,373112.4,,,,,,,,,,,,378.91,91996.0,,2022
100041,1302364050.0,135 MORRISSEY OWNER LLC,135 William T Morrissey Blvd,2127.0,135 Wm T Morrissey Bl,2127.0,708310.0,Laboratory,"Office , Laboratory , Parking ",40.1,28368151.5,8944433.7,19423717.6,,,,,,,,,,,,1.44,2011455.0,,2022
100045,1000003000.0,1457 TREMONT STREET LLC,1455-1459 Tremont St #,2120.0,1457 Tremont St,2120.0,38208.0,Multifamily Housing,"Multifamily Housing , Bank Branch , Parking ",29.6,1130429.2,488000.0,642429.1,,,,,,,,,,,,20.74,76734.0,,2022
100046,1000517000.0,1480 TREMONT REALTY TRUST,1486 Tremont St,2120.0,1486 Tremont St,2120.0,75370.0,Multifamily Housing,"Multifamily Housing , Parking ",52.8,3977636.3,2220251.5,1757384.7,,,,,,,,,,,,28.43,256927.0,,2022
100049,504242000.0,15-19 QUEENSBERRY STREET LLC,15 Queensberry St,2215.0,15 Queensberry St,2215.0,19110.0,Multifamily Housing,Multifamily Housing ,50.6,966457.8,,273932.4,,,,,,692525.4,,,,,,52.27,73060.0,,2022
100051,600074010.0,150 DORCHESTER AVENUE,150 Dorchester Ave,2127.0,150 Dorchester Av,2127.0,103803.0,Multifamily Housing,Multifamily Housing ,53.1,5507239.6,2704500.0,2802739.6,,,,,,,,,,,,5005.22,365333.0,,2022
100054,800791000.0,152 HAMPDEN STREET LLC,152 Hampden St,2119.0,152 Hampden St,2119.0,21000.0,Office,"Bar/Nightclub , Office , Parking ",63.2,1327146.0,698163.0,628983.1,,,,,,,,,,,,4.2,86832.0,,2022
100055,100526000.0,16 BOARDMAN STREET CONDOMINIUM TRUST,16 Boardman St,2128.0,16 Boardman St,2128.0,19700.0,Multifamily Housing,"Multifamily Housing , Parking ",20.0,393836.9,,393836.9,,,,,,,,,,,,18.55,31152.0,,2022
100056,600268000.0,160 WEST BROADWAY,135 Athens St,2127.0,160 W Broadway St,2127.0,24358.0,Multifamily Housing,"Multifamily Housing , Parking ",19.9,485110.6,270100.0,215010.6,,,,,,,,,,,,1911.6,31352.0,,2022
100057,2102015000.0,16509 CWMA OWNER LLC,1650-1654 Commonwealth Ave,2135.0,1650 Commonwealth Av,2135.0,38640.0,Multifamily Housing,Multifamily Housing ,117.9,4557120.1,3670000.1,887120.0,,,,,,,,,,,,29.99,265085.0,,2022
100060,600291000.0,170 WEST BROADWAY,170 W Broadway,2127.0,170 W Broadway,2127.0,67100.0,Multifamily Housing,"Multifamily Housing , Parking ",51.0,3421007.6,2016700.0,1404307.5,,,,,,,,,,,,2366.75,218188.0,,2022
100064,1200005000.0,185 DUDLEY STREET LLC,185 Dudley St,2119.0,185 Dudley St,2119.0,20152.0,Office,Office ,68.3,1375515.9,971600.0,403916.0,,,,,,,,,,,,9.39,83551.0,,2022
100065,304176000.0,185 FRANKLIN STREET,185 Franklin St,2110.0,185 Franklin St,2110.0,813721.0,Office,"Office , Parking ",41.9,34071346.7,,20774078.0,,,,13297269.6,,,,,,,,243.92,2526168.0,,2022
100066,801106020.0,1850  CONDOMINIUM  TRUST,90 Wareham St,2118.0,90 Wareham St,2118.0,70831.0,Multifamily Housing,Multifamily Housing ,77.5,5488444.6,1205899.9,4282544.5,,,,,,,,,,,,27.05,402795.0,,2022
100069,303270000.0,190 NORTH STREET LLC,5 Baker'S Aly,2113.0,5 Bakers Al,2113.0,43668.0,Multifamily Housing,Multifamily Housing ,49.9,2178461.6,1424436.9,754024.7,,,,,,,,,,,,30.13,135295.0,,2022
100071,2102480000.0,1955 COMM AVE LLC,1955 Commonwealth Ave,2135.0,1955 Commonwealth Av,2135.0,48132.0,Multifamily Housing,Multifamily Housing ,70.2,3381073.4,2262233.8,437906.3,,,,,680933.3,,,,,,,40.96,204834.0,,2022
100076,801023010.0,1K MASS AVE LLC,1000 Massachusetts Ave,2118.0,1000 Massachusetts Av,2118.0,31422.0,Office,Office ,15.4,483538.4,,483538.4,,,,,,,,,,,,4.04,38248.0,,2022
100080,305348000.0,201 SOUTH STREET OWNER LLC,195  201 South St,2111.0,195 201 South St,2111.0,84581.4,Office,Office ,46.3,3913976.8,2920409.2,993567.6,,,,,,,,,,,,1.44,233694.0,,2022
100083,302807000.0,21 BEACON CONDOMINIUM TRUST,21-23 Beacon St,2108.0,19 23 Beacon St,2108.0,131932.0,Multifamily Housing,"Multifamily Housing , Office , Other - Restaurant/Bar , Convenience Store without Gas Station ",103.8,13694835.6,10684799.7,3010036.0,,,,,,,,,,,,40.04,805564.0,,2022
100084,1704098000.0,2165 DOT AVE LLC,2165 Dorchester Ave,2124.0,2165 Dorchester Av,2124.0,31200.0,Multifamily Housing,Multifamily Housing ,67.6,2109093.5,,386163.3,,,,,,1722930.1,,,,,,48.99,158404.0,,2022
100086,1100896020.0,225 CENTRE STREET CONDOMINIUM TRUST,225 Centre St,2119.0,225 Centre St,2119.0,111325.0,Multifamily Housing,"Multifamily Housing , Parking , Other ",70.3,7828343.2,5287177.7,2541165.5,,,,,,,,,,,,36.64,481808.0,,2022
100088,1502982000.0,233 HANCOCK LLC,233 Hancock St,2125.0,233 Hancock St,2125.0,36160.0,Multifamily Housing,Multifamily Housing ,36.8,1330212.6,,1330212.6,,,,,,,,,,,,19.97,105220.0,,2022
100090,401400000.0,24 HAVILAND LLC MASS LLC,24 Haviland St,2115.0,24 Haviland St,2115.0,25030.0,Multifamily Housing,Multifamily Housing ,73.2,1831093.1,1450000.0,381093.1,,,,,,,,,,,,39.97,107154.0,,2022
100091,2201898000.0,24-26 HICHBORN STREET LLC,26 Hichborn St,2135.0,26 24 Hichborn St,2135.0,31532.0,Multifamily Housing,,35.9,1132994.9,375200.0,757795.0,,,,,,,,,,,,29.65,79868.0,,2022
100095,602674085.0,25 FID KENNEDY LLC LESSEE,25 Fid Kennedy Dr,2210.0,25 Fid Kennedy Dr,2210.0,157000.0,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,56.6,8893722.0,5815986.2,3077735.9,,,,,,,,,,,,1.15,552336.0,,2022
100096,1403317001.0,250 WOODROW AVENUE LLC,250-258 Woodrow Ave,2124.0,258 250 Woodrow Av,2124.0,21000.0,Self-Storage Facility,Self-Storage Facility ,29.7,623910.2,473126.2,150784.0,,,,,,,,,,,,0.19,37055.0,,2022
100097,1001074000.0,256 HOLDINGS LLC,256 Parker Hill Ave,2120.0,256 Parker Hill Av,2120.0,23256.0,Multifamily Housing,Multifamily Housing ,45.6,1060464.7,,656878.2,,,,,403586.5,,,,,,,41.56,81623.0,,2022
100101,602701000.0,262 SUMMER REALTY ASSOCIATES,262-266 Summer St,2210.0,262 266 Summer St,2210.0,55907.0,Office,"Office , Parking ",55.5,3101224.0,327500.0,2773724.0,,,,,,,,,,,,5.21,236795.0,,2022
100104,602697000.0,280 HOLDINGS LLC,286-290 Summer St,2210.0,290 286 Summer St,2210.0,138350.0,Office,Office ,44.3,6131709.2,,3701474.1,,,,,,2430235.1,,,,,,1.98,473134.0,,2022
100107,303907000.0,294 WASHINGTON OWNER LLC,280-306 Washington St,2108.0,280 300 Washington St,2108.0,226530.0,Office,"Office , Medical Office ",42.7,9675064.5,4396800.0,5278265.1,,,,,,,,,,,,5.85,651025.0,,2022
100108,2102565020.0,2LIFE KURLAT LLC,28 Wallingford Rd,2135.0,28 Wallingford Rd,2135.0,187656.0,Multifamily Housing,Multifamily Housing ,87.6,16439513.2,11015201.7,5424312.3,,,,,,,,,,,,49.83,1014080.0,,2022
100109,2102565010.0,2LIFE LEVENTHAL LIMITED PARTNERSHIP,40 Wallingford Rd,2135.0,40 Wallingford Rd,2135.0,158387.0,Multifamily Housing,Multifamily Housing ,89.8,14216843.5,9485371.2,4731471.6,,,,,,,,,,,,46.07,878027.0,27985546.0,2022
100110,2102565015.0,2LIFE UNIN LIMITED PARTNERSHIP,30 Wallingford Rd,2135.0,30 Wallingford Rd,2135.0,140889.0,Multifamily Housing,Multifamily Housing ,78.9,11115216.0,8875563.9,2239652.2,,,,,,,,,,,,51.69,648538.0,,2022
100112,601166060.0,300 A STREET LLC,288-304 A St,2127.0,288 304 A St,2127.0,120231.0,Office,Office ,59.7,7182084.2,3665417.4,3516666.5,,,,,,,,,,,,1.37,472839.0,,2022
100113,401160000.0,300 MASS AVE LLC,300 Massachusetts Ave,2115.0,247 Huntington Av,2115.0,102863.0,Office,Office ,29.5,3033169.7,,3033169.7,,,,,,,,,,,,,239924.0,4021806.0,2022
"100113, 104521, 104702, 104703, 104704, 104705, 104706, 104707, 104708, 104709, 104710, 104711, 104712, 104713, 104714, 104715, 104716, 104717, 104718, 104719, 104720, 104721, 104722, 104723, 104724, 104725, 104726, 104728, 104729, 104730, 104731, 104732, 104733, 104735, 104736, 104737, 104738, 104740, 104741, 104743, 104744, 104745, 104746, 104747, 104748, 104749, 104750, 104751, 104752, 104753, 104754, 104755, 104756, 104757, 104758, 104759, 104760, 104761, 104762, 104767, 104768, 104770, 104771, 104774, 104775, 104776, 105168, 107249, 107250, 107252",,,360 Huntington Ave,2115.0,,,6872989.0,College/University,,120.3,827112088.1,500740147.4,326371925.7,,,,,,,,,,,,25.93,,4021806.0,2022
100116,602763010.0,311 SUMNER AVENUE INC,311-319 Summer St,2127.0,323 329 A St,2127.0,57865.0,Office,Office ,55.9,3231976.4,1017400.0,2214576.3,,,,,,,,,,,,5.12,229207.0,,2022
100120,202160000.0,32 CAMBRIDGE STREET LLC,34 Cambridge St,2129.0,572 Rutherford Av,2129.0,141620.0,Multifamily Housing,"Multifamily Housing , Parking ",34.5,4883538.2,1126799.9,3756738.2,,,,,,,,,,,,29.62,357002.0,,2022
100124,304721000.0,333 WASHINGTON STREET,315-333 Washington St,2108.0,315 345 Washington St,2108.0,143954.0,Other - Mall,Other - Mall ,96.3,13868466.3,6324926.5,7543539.6,,,,,,,,,,,,40.32,932611.0,,2022
100127,306337000.0,345 HARRISON LLC,335-347 Harrison Ave,2118.0,345 Harrison Av,2118.0,612131.0,Multifamily Housing,"Multifamily Housing , Parking , Retail Store ",74.9,45823942.3,22475399.4,23249265.6,,,,,,99277.2,,,,,,26.15,3040053.0,,2022
100135,700014000.0,371 SMILEY DORCHESTER LLC,385 Dorchester Ave,2127.0,371 393 Dorchester Av,2127.0,149105.0,Non-Refrigerated Warehouse,"Personal Services Health/Beauty, Dry Cleaning, etc , Food Sales , Office , Non-Refrigerated Warehouse ",45.0,6714486.3,4960800.2,1753686.1,,,,,,,,,,,,10.16,402185.0,,2022
100145,2009180010.0,391 EAST CENTRAL LLC,1208B Vfw Pkwy,2132.0,1208 B Vfw Pw,2132.0,37000.0,Office,Office ,63.8,2360686.8,1112700.0,1247986.8,,,,,,,,,,,,908.51,157811.0,,2022
100150,303824000.0,40 BROAD STREET OWNER INC,36-44 Broad St,2109.0,36 44 Broad St,2109.0,309915.0,Office,"Restaurant , Office ",39.5,12255064.9,,7149248.9,,,,5105816.5,,,,,,,,12.53,904532.0,,2022
100151,602757060.0,40 CHANNEL CENTER STREET BOSTON LLC,239-241 A St,2127.0,40 Channel Center St,2127.0,26400.0,Office,"Restaurant , Office ",19.3,509090.4,229172.4,279918.0,,,,,,,,,,,,0.99,34313.0,,2022
100155,401737000.0,409 HUNTINGTON LLC,409 Huntington Ave,2115.0,409 Huntington Av,2115.0,39275.0,Multifamily Housing,Multifamily Housing ,113.6,4461709.5,582882.6,829180.8,,,,,3049646.1,,,,,,,65.92,320694.0,,2022
100168,304705000.0,45 PROVINCE CONDOMINUM,45 Province St,2108.0,27 47 Province St,2108.0,206590.0,Multifamily Housing,"Restaurant , Pre-school/Daycare , Multifamily Housing , Heated Swimming Pool , Parking ",83.4,17228678.3,9490269.4,7738409.2,,,,,,,,,,,,33.67,1116136.0,,2022
100172,801108000.0,46 WAREHAM STREET LLC,46-76 Wareham St,2118.0,46 Wareham St,2118.0,56112.0,Multifamily Housing,"Multifamily Housing , Parking ",52.0,2915582.7,1208600.0,1706982.7,,,,,,,,,,,,12.5,199211.0,,2022
100175,101660001.0,480 MCCLELLAN LLC,Wm F Mcclellan Hw,2128.0,Wm F Mcclellan Hw,2128.0,140980.0,Distribution Center,"Distribution Center , Office ",51.3,7238112.2,2615414.8,4622697.0,,,,,,,,,,,,251.4,504560.0,,2022
100178,1000036000.0,49 WORTHINGTON STREET BOSTON LLC,49 Worthington St,2120.0,49 Worthington St,2120.0,26125.0,Multifamily Housing,Multifamily Housing ,86.7,2265411.7,1940565.4,324846.3,,,,,,,,,,,,49.23,128759.0,,2022
100180,602670450.0,50 LIBERTY LLC,50 Liberty Dr,2210.0,50 Liberty Dr,2210.0,277621.0,Multifamily Housing,Multifamily Housing ,122.4,33978762.7,23013334.8,10965427.6,,,,,,,,,,,,28.97,2089604.0,,2022
100181,401567000.0,50 SYMPHONY  LLC,50 Symphony Rd,2115.0,50 44 Symphony Rd,2115.0,24500.0,Multifamily Housing,"Multifamily Housing , Parking ",39.2,961237.5,489504.6,471732.9,,,,,,,,,,,,2020.67,63312.0,,2022
100182,401092000.0,500 BOYLSTON & 222 BERKELEY,500 Boylston St,2116.0,500 Boylston St,2116.0,761594.0,Office,"Office , Parking , Other ",50.5,38445810.6,,38445801.8,,,,,,,,,,,,14.03,3041063.0,,2022
100183,401096000.0,500 BOYLSTON & 222 BERKELEY,222 Berkeley St,2116.0,222 Berkeley St,2116.0,551775.0,Office,"Restaurant , Office , Bank Branch , Parking , Fast Food Restaurant , Retail Store ",45.6,25145075.5,,25145075.2,,,,,,,,,,,,2.33,1988975.0,,2022
100186,303870000.0,53 STATE PROPERTY LP,43-65 State St,2109.0,43 65 State St,2109.0,1223347.0,Office,"Restaurant , Office , Bank Branch , Convenience Store without Gas Station , Parking , Fitness Center/Health Club/Gym ",46.9,57343377.3,,40123106.9,,,,17220277.2,,,,,,,,5.4,4200066.0,,2022
100188,601509010.0,5514 D STREET 320 BOSTON LLC,320 D St,2127.0,320 D St,2127.0,259607.0,Multifamily Housing,"Multifamily Housing , Parking ",40.6,10546875.7,5959499.8,4587376.0,,,,,,,,,,,,21.63,679370.0,,2022
100189,601520004.0,5515 D STREET 339 BOSTON LLC,339 D St,2127.0,339 D St,2127.0,41760.0,Multifamily Housing,"Multifamily Housing , Parking ",24.5,1021898.2,526800.0,495098.3,,,,,,,,,,,,22.33,67141.0,,2022
100190,2202338000.0,"5521 - 4, 8, 12 ELKO STREET",4-12 Elko St,2135.0,4 12 Elko St,2135.0,36294.0,Multifamily Housing,Multifamily Housing ,62.4,2264668.0,2166224.1,98444.0,,,,,,,,,,,,29.27,122835.0,,2022
100192,701483000.0,5528-1410 COLUMBIA ROAD  BOSTON LLC,1410 Columbia Rd,2127.0,423 435 E Eighth St,2127.0,147560.0,Multifamily Housing,Multifamily Housing ,59.9,8839595.8,5056233.6,3783362.1,,,,,,,,,,,,26.13,567801.0,,2022
100193,501221000.0,5538-12-14 COMMONWEALTH AVENUE BOSTON MA LLC,12-14 Commonwealth Ave,2116.0,12 14 Commonwealth Av,2116.0,38080.0,Multifamily Housing,Multifamily Housing ,6.0,228552.8,,228552.8,,,,,,,,,,,,1.13,18079.0,,2022
100200,301611000.0,60 CANAL OWNER LLC,60 Canal St,2114.0,155 Friend St,2114.0,49336.0,Office,"Office , Retail Store ",36.1,1779255.8,1304454.8,474801.0,,,,,,,,,,,,0.76,106836.0,,2022
100204,503936000.0,601 NEWBURY ST LLC,595-603 Newbury St,2215.0,603 595 Newbury St,2215.0,24300.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse ,0.0,0.0,,0.0,,,,,,,,,,,,0.01,,,2022
100206,202158010.0,610 RUTHERFORD AVENUE LLC,610 Rutherford Av,2129.0,610 Rutherford Av,2129.0,21632.0,Multifamily Housing,Multifamily Housing ,32.4,701867.2,117900.0,583967.2,,,,,,,,,,,,19.9,52453.0,,2022
100207,602076010.0,616 EAST FOURTH STREET,616 E Fourth St,2127.0,616 E Fourth St,2127.0,11526.0,Multifamily Housing,Multifamily Housing ,77.0,887994.0,363300.0,524693.9,,,,,,,,,,,,36.11,60798.0,,2022
100213,602674250.0,7 TIDE LLC,7 Tide St,2210.0,7 Tide St,2210.0,36000.0,Wholesale Club/Supercenter,Wholesale Club/Supercenter ,49.1,1767823.7,417900.0,1349923.7,,,,,,,,,,,,10.7,128974.0,,2022
100216,2009181000.0,705 PLANTATION STREET REALTY TRUST,1208R Vfw Pkwy,2132.0,270 Baker St,2132.0,34950.0,Office,"Office , Parking ",35.2,1229409.7,,1229409.8,,,,,,,,,,,,5.34,97246.0,,2022
100218,304309000.0,711 ATLANTIC AVENUE COMPANY LLC,11-17 East St,2111.0,711 Atlantic Av,2111.0,99170.0,Office,Office ,55.2,5474027.7,2345844.7,3128183.0,,,,,,,,,,,,,,,2022
100224,603516010.0,726-734 E BROADWAY REALTY LLC,728-734A E Broadway,2127.0,726 728 E Broadway,2127.0,42924.0,Multifamily Housing,"Restaurant , Multifamily Housing , Office , Parking ",124.6,5346387.3,3181900.2,2164487.2,,,,,,,,,,,,49.52,340202.0,,2022
100227,1101200015.0,75 AMORY AVENUE APARTMENTS LLC,75 Amory Av,2119.0,75 Amory Av,2119.0,47073.0,Multifamily Housing,Multifamily Housing ,36.6,1724010.0,691010.0,1033000.1,,,,,,,,,,,,36.55,118410.0,,2022
100228,800486000.0,75 PROCTOR LLC,75 Proctor St,2119.0,75 Proctor St,2119.0,23840.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse ,58.1,1384449.7,1123500.0,260949.8,,,,,,,,,,,,0.33,80310.0,,2022
100229,303860000.0,75 STATE OWNER LLC,75 State St,2109.0,75 State St,2109.0,813261.0,Office,"Office , Financial Office , Other - Restaurant/Bar , Parking , Retail Store , Other ",45.4,36948138.6,,36948138.6,,,,,,,,,,,,5.65,2922598.0,,2022
100230,102504000.0,75 WALDERMAR AVENUE,75 Waldemar Ave,2128.0,75 Waldemar Av,2128.0,12628.0,Multifamily Housing,Multifamily Housing ,43.9,554104.8,240600.0,313504.8,,,,,,,,,,,,40.15,37576.0,,2022
100232,304199000.0,75-101 FED OWNER LLC,101 Federal St,2110.0,101 Federal St,2110.0,888478.0,Office,"Office , Data Center , Bank Branch , Parking ",55.9,49662570.2,0.0,45692582.8,,,,3969991.4,,,,,,,,6.41,3877891.0,,2022
100233,801401100.0,761 HARRISON CHURCH LLC,761 Harrison Av,2118.0,761 Harrison Av,2118.0,64042.0,Multifamily Housing,"Multifamily Housing , Parking ",51.7,3310240.0,1061387.4,2248852.6,,,,,,,,,,,,48.57,234255.0,,2022
100236,304482000.0,8 HARRISON AVENUE,2-8 Harrison Ave,2111.0,8 Harrison Av,2111.0,161486.0,Other - Technology/Science,,124.0,20017104.4,,17868644.0,,,,2148459.1,,,,,,,,8.15,1541458.0,,2022
100238,802039010.0,801 ALBANY STREET LLC MASS LLC,801-805 Albany St,2119.0,6 4 Northampton St,2119.0,40216.0,Office,"Office , Parking ",73.6,2960274.1,1231400.0,1728874.0,,,,,,,,,,,,3.42,202154.0,,2022
100243,304981010.0,88  HUDSON STREET  LEASEHOLD,88 Hudson St,2111.0,88 Hudson St,2111.0,59992.0,Multifamily Housing,Multifamily Housing ,42.9,2571284.7,1643544.8,927739.9,,,,,,,,,,,,27.17,160673.0,,2022
100246,500697000.0,9 APPLETON PLACE CONDOMINIUM,49-55 Berkeley St,2116.0,9 Appleton St,2116.0,32080.0,Multifamily Housing,"Multifamily Housing , Supermarket/Grocery Store ",49.0,1571986.1,634000.0,937986.1,,,,,,,,,,,,2845.17,107866.0,,2022
100247,602750045.0,9 CHANNEL CENTER LLC,9 Channel Center St,2127.0,9 Channel Center St,2127.0,73553.0,Office,Office ,38.1,2799007.5,165800.0,2633207.6,,,,,,,,,,,,1.83,217092.0,,2022
100248,502557000.0,92 BEACON STREET CONDOMINIUN,92 Beacon St,2108.0,92 Beacon St,2108.0,23400.0,Multifamily Housing,Multifamily Housing ,44.8,1049326.3,829300.1,220026.2,,,,,,,,,,,,15.53,61448.0,,2022
100250,604486000.0,945 EAST BROADWAY,945-947 E Broadway,2127.0,945 E Broadway,2127.0,20975.0,Multifamily Housing,"Multifamily Housing , Parking ",42.4,889232.5,314000.0,575232.5,,,,,,,,,,,,1445.94,62177.0,,2022
100251,500706000.0,95 BERKELEY STREET (MA),85-99 Berkeley St,2116.0,95 Berkeley St,2116.0,92708.0,Office,Office ,52.9,4904045.4,2928552.0,1975493.4,,,,,,,,,,,,0.6,311797.0,,2022
100254,2201915000.0,97-113 NORTH BEACON LLC,97-113 N Beacon St,2135.0,97 113 N Beacon St,2135.0,27530.0,Convenience Store without Gas Station,Convenience Store without Gas Station ,52.7,1451166.7,,1173533.5,,,,,,,,,,,,,92826.0,,2022
